Round;Time death (s);Killer;Killer side;Killer team;Killer blinded;Victim;Victim side;Victim team;Victim_blinded;Weapon;Headshot;Crouching;Trade_kill
2;23,3;zuluuu;CT;UKF E-Sports ;FALSE;Skalw0;T;UCM Tedi Echo;FALSE;USP-S;TRUE;FALSE;FALSE
2;41,25;naboj1;CT;UKF E-Sports ;FALSE;s666s;T;UCM Tedi Echo;FALSE;P2000;TRUE;FALSE;FALSE
2;42,27;.Not1ce;T;UCM Tedi Echo;FALSE;naboj1;CT;UKF E-Sports ;FALSE;Glock-18;TRUE;FALSE;TRUE
2;42,84;NiT0.;CT;UKF E-Sports ;FALSE;.Not1ce;T;UCM Tedi Echo;FALSE;USP-S;TRUE;FALSE;TRUE
2;45,53;NiT0.;CT;UKF E-Sports ;FALSE;Kolardo;T;UCM Tedi Echo;FALSE;USP-S;TRUE;FALSE;FALSE
2;47,17;Addixx;T;UCM Tedi Echo;FALSE;NiT0.;CT;UKF E-Sports ;FALSE;Glock-18;TRUE;FALSE;TRUE
2;60,34;zuluuu;CT;UKF E-Sports ;FALSE;Addixx;T;UCM Tedi Echo;FALSE;USP-S;TRUE;FALSE;FALSE
2;83,91;.Not1ce;T;UCM Tedi Echo;FALSE;NepriateL;CT;UKF E-Sports ;FALSE;Galil AR;FALSE;TRUE;FALSE
2;90,32;Kolardo;T;UCM Tedi Echo;FALSE;Newstartik;CT;UKF E-Sports ;FALSE;MAC-10;FALSE;FALSE;FALSE
2;90,73;NiT0.;CT;UKF E-Sports ;FALSE;.Not1ce;T;UCM Tedi Echo;FALSE;M4A1-S;FALSE;FALSE;FALSE
2;94,52;NiT0.;CT;UKF E-Sports ;FALSE;Addixx;T;UCM Tedi Echo;FALSE;M4A1-S;FALSE;FALSE;FALSE
2;95,01;Skalw0;T;UCM Tedi Echo;FALSE;NiT0.;CT;UKF E-Sports ;FALSE;Galil AR;TRUE;TRUE;TRUE
2;106,15;zuluuu;CT;UKF E-Sports ;FALSE;s666s;T;UCM Tedi Echo;FALSE;M4A1-S;TRUE;FALSE;FALSE
2;110,16;Skalw0;T;UCM Tedi Echo;FALSE;naboj1;CT;UKF E-Sports ;FALSE;Galil AR;FALSE;FALSE;FALSE
2;112,79;zuluuu;CT;UKF E-Sports ;FALSE;Kolardo;T;UCM Tedi Echo;FALSE;M4A1-S;FALSE;FALSE;FALSE
2;115,66;Skalw0;T;UCM Tedi Echo;FALSE;zuluuu;CT;UKF E-Sports ;FALSE;Galil AR;TRUE;FALSE;TRUE
3;33,86;Kolardo;T;UCM Tedi Echo;FALSE;naboj1;CT;UKF E-Sports ;FALSE;MAC-10;TRUE;FALSE;FALSE
3;38,8;NiT0.;CT;UKF E-Sports ;FALSE;.Not1ce;T;UCM Tedi Echo;FALSE;MP9;TRUE;TRUE;FALSE
3;39,84;zuluuu;CT;UKF E-Sports ;FALSE;Addixx;T;UCM Tedi Echo;FALSE;CZ75-Auto;FALSE;FALSE;FALSE
3;42,47;zuluuu;CT;UKF E-Sports ;FALSE;Kolardo;T;UCM Tedi Echo;FALSE;CZ75-Auto;FALSE;FALSE;FALSE
3;62,02;Skalw0;T;UCM Tedi Echo;FALSE;NepriateL;CT;UKF E-Sports ;FALSE;AK-47;FALSE;FALSE;FALSE
3;91,66;zuluuu;CT;UKF E-Sports ;FALSE;s666s;T;UCM Tedi Echo;FALSE;MAC-10;FALSE;FALSE;FALSE
3;93,14;Skalw0;T;UCM Tedi Echo;FALSE;zuluuu;CT;UKF E-Sports ;FALSE;AK-47;FALSE;TRUE;TRUE
